SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
AT-Neu,Neustift,47.1167,11.3175,970,GRA,"6,5",852
AT-Rut,Rutzendorf,48.2102431,16.6229561,150,CRO,"10,3",516
BE-Vie,Vielsalm,50.3049,5.9981,493,MF,"7,8",1062
CH-Cha,Chamau,47.2102,8.4104,393,GRA,"9,5",1136
CH-Dav,Davos,46.8153,9.8559,1639,ENF,"2,8",1062
CH-Fru,Früebüel,47.1158,8.5378,982,GRA,"7,2",1651
CH-Lae,Laegern,47.4783,8.3644,689,MF,"8,3",1100
CH-Oe1,Oensingen grassland,47.2858,7.7319,450,GRA,9,1100
CH-Oe2,Oensingen crop,47.2864,7.7337,452,CRO,"9,8",1155
CZ-BK1,Bily Kriz forest,49.5021,18.5369,875,ENF,"6,7",1316
CZ-BK2,Bily Kriz grassland,49.4944,18.5429,855,GRA,"6,7",1316
CZ-wet,Trebon (CZECHWET),49.0247,14.7704,426,WET,"7,7",604
CZ-Dom,Domanínek,49.5234822,16.2422775,550,DBF,"7,2",609
CZ-Pol1,Polkovice 1,49.3952222,17.2464722,200,CRO,"8,3",553
CZ-PoNT,Polkovice notill,49.397017,17.250033,200,CRO,"8,3",553
CZ-PoCL,Polkovice classic,49.39825,17.24705,200,CRO,"8,3",553
CZ-LN,Lanzhot,48.6815406,16.9463694,150,DBF,"9,8",518
CZ-KRP,K?ešín,49.5732575,15.0788331,534,CRO,"7,1",620
DE-Akm,Anklam,53.8662,13.6834,-1,WET,"8,7",558
DE-Dgw,Dagowsee,53.1514,13.0543,60,WAT,"9,02","602,9"
DE-Geb,Gebesee,51.0997,10.9146,"161,5",CRO,"8,5",470
DE-Gri,Grillenburg,50.95,13.5126,385,GRA,"7,8",901
DE-Hai,Hainich,51.0792,10.4522,430,DBF,"8,3",720
DE-Kli,Klingenberg,50.8931,13.5224,478,CRO,"7,6",842
DE-Lkb,Lackenberg,49.0996,13.3047,1308,ENF,4,1599
DE-Lnf,Leinefelde,51.3282,10.3678,451,DBF,"6,96","894,6"
DE-Obe,Oberbärenburg,50.7867,13.7213,734,ENF,"5,5",996
DE-RuR,Rollesbroich,50.6219,6.3041,"514,7",GRA,"7,7",1033
DE-RuS,Selhausen Juelich,50.8659,6.4471,"102,755",CRO,10,700
DE-Seh,Selhausen,50.8706,6.4497,103,CRO,"9,9",693
DE-SfN,Schechenfilz Nord,47.8064,11.3275,590,WET,"8,6",1127
DE-Spw,Spreewald,51.8922,14.0337,61,WET,"8,7",558
DE-Tha,Tharandt,50.9626,13.5651,385,ENF,"8,2",843
DE-Zrk,Zarnekow,53.8759,12.889,0,WET,"8,7",584
IT-Cas,Castellaro,45.07,8.7175,89,CRO,"11,9",0
IT-Isp,Ispra ABC-IS,45.8126,8.6336,210,DBF,"12,2",1300
IT-La2,Lavarone2,45.9542,11.2853,1350,ENF,"7,2",1150
IT-Lav,Lavarone,45.9562,11.2813,1353,ENF,"7,8",1291
IT-MBo,Monte Bondone,46.0147,11.0458,1550,GRA,"5,1",1214
IT-PT1,Parco Ticino forest,45.2009,9.061,60,DBF,"12,7",984
IT-Ren,Renon,46.5869,11.4337,1730,ENF,"4,7","809,3"
IT-Tor,Torgnon,45.8444,7.5781,2160,GRA,"2,9",920
NL-Hor,Horstermeer,52.2403,5.0713,"2,2",GRA,10,800
NL-Loo,Loobos,52.1666,5.7436,25,ENF,"9,8",786
